STATE,NAME,COUNTY,TRACT,H_1ORMORE_VEHPP,H_FEWER_VEHPP,H_NO_VEH,H_SIZE_1,H_SIZE_2,H_SIZE_3,H_SIZE_4PLUS,P_MODE_AUTO_OTHER,P_MODE_TRANSIT,P_MODE_WALK_BIKE,P_MODE_WFH,REGION
50,"Census Tract 9551, Washington County, Vermont",50023,50023955100,758,865,562,1119,502,232,332,4274,90,159,94,1
50,"Census Tract 9557, Washington County, Vermont",50023,50023955700,401,381,35,309,266,116,126,1469,6,62,199,1
50,"Census Tract 9540, Washington County, Vermont",50023,50023954000,891,827,67,451,753,269,312,3903,36,101,274,1
50,"Census Tract 23.01, Chittenden County, Vermont",50007,50007002301,373,623,10,206,441,168,191,2866,28,17,108,1
50,"Census Tract 23.02, Chittenden County, Vermont",50007,50007002302,1377,1281,11,591,1180,362,536,6807,26,49,238,1
50,"Census Tract 33.01, Chittenden County, Vermont",50007,50007003301,884,640,31,274,564,266,451,3692,34,43,168,1
50,"Census Tract 9, Chittenden County, Vermont",50007,50007000900,245,631,310,631,375,94,86,1718,88,536,107,1
50,"Census Tract 9534, Lamoille County, Vermont",50015,50015953400,560,467,25,248,400,180,224,2630,0,14,149,1
50,"Census Tract 9535, Lamoille County, Vermont",50015,50015953500,932,1164,136,511,892,451,378,5429,72,158,145,1
50,"Census Tract 9533, Lamoille County, Vermont",50015,50015953300,642,624,43,415,486,157,251,2773,0,24,104,1
50,"Census Tract 9531, Lamoille County, Vermont",50015,50015953100,826,635,41,333,500,369,300,3987,0,76,229,1
50,"Census Tract 9530, Lamoille County, Vermont",50015,50015953000,548,423,26,218,427,160,192,2533,0,6,69,1
50,"Census Tract 9532, Lamoille County, Vermont",50015,50015953200,446,776,127,403,434,244,268,4082,0,165,78,1
50,"Census Tract 9536, Lamoille County, Vermont",50015,50015953600,1363,680,62,764,863,194,284,3821,82,45,92,1
50,"Census Tract 9662, Windsor County, Vermont",50027,50027966200,373,257,17,185,254,73,135,1454,8,46,61,1
50,"Census Tract 9665, Windsor County, Vermont",50027,50027966500,996,613,151,506,729,202,323,3506,8,90,120,1
50,"Census Tract 9666, Windsor County, Vermont",50027,50027966600,1171,857,220,890,700,333,325,3902,112,152,120,1
50,"Census Tract 9651, Windsor County, Vermont",50027,50027965100,616,565,31,395,446,146,225,2678,46,76,31,1
50,"Census Tract 9657, Windsor County, Vermont",50027,50027965700,928,580,29,392,701,262,182,3696,0,16,96,1
50,"Census Tract 9659, Windsor County, Vermont",50027,50027965900,830,561,54,445,669,137,194,3016,12,64,115,1
50,"Census Tract 9667, Windsor County, Vermont",50027,50027966700,868,805,129,705,716,184,197,3237,22,90,46,1
50,"Census Tract 9650, Windsor County, Vermont",50027,50027965000,692,577,21,284,574,127,305,3017,12,157,196,1
50,"Census Tract 9653, Windsor County, Vermont",50027,50027965300,58,35,34,53,54,0,20,185,0,34,3,1
50,"Census Tract 9654, Windsor County, Vermont",50027,50027965400,975,653,37,422,766,186,291,3998,6,59,104,1
50,"Census Tract 9658, Windsor County, Vermont",50027,50027965800,673,590,52,478,473,178,186,2585,20,134,63,1
50,"Census Tract 9661, Windsor County, Vermont",50027,50027966100,600,478,17,179,556,164,196,2710,36,17,84,1
50,"Census Tract 9652, Windsor County, Vermont",50027,50027965200,738,430,37,328,524,120,233,2736,14,42,91,1
